date, action, price, shares, pnl 
2010-01-26,BUY,98.39,1016,0
2010-05-03,SELL,96.02,1016,-2407.92
2010-06-10,BUY,97.56,1000,0
2010-07-21,SELL,101.85,1000,4290
2010-08-10,BUY,96.98,1050,0
2010-11-18,SELL,98.03,1050,1102.5
2010-12-24,BUY,95.93,1073,0
2011-04-28,SELL,89.18,1073,-7242.75
2011-08-12,BUY,91.77,1043,0
2011-09-22,SELL,94.94,1043,3306.31
2011-10-18,BUY,91.22,1085,0
2011-11-07,SELL,95.46,1085,4600.4
2011-12-16,BUY,93.48,1108,0
2012-01-30,SELL,94.11,1108,698.04
2012-02-17,BUY,90.58,1151,0
2012-04-16,SELL,90.29,1151,-333.79
2012-07-02,BUY,90.96,1143,0
2013-02-15,SELL,64.11,1143,-30689.5
2013-03-12,BUY,62.98,1164,0
2013-04-17,SELL,65.72,1164,3189.36
2013-05-28,BUY,60.56,1263,0
2013-06-26,SELL,62.62,1263,2601.78
2013-08-08,BUY,60.26,1312,0
2013-09-19,SELL,60.98,1312,944.64
2013-10-30,BUY,59.03,1356,0
2013-12-09,SELL,61.16,1356,2888.28
2014-01-13,BUY,59.56,1392,0
2014-04-10,SELL,64.11,1392,6333.6
2014-05-20,BUY,62.35,1431,0
2014-06-10,SELL,66.89,1431,6496.74
2014-08-07,BUY,66.79,1434,0
2014-12-31,SELL,59.57,1434,-10353.5
2015-04-29,BUY,60.99,1400,0
2015-08-10,SELL,61.94,1400,1330
2015-08-28,BUY,58.86,1473,0
2015-10-22,SELL,57.45,1473,-2076.93
2015-11-13,BUY,56.99,1485,0
2015-12-22,SELL,58.19,1485,1782
2016-01-11,BUY,56.21,1538,0
2016-03-18,SELL,56.58,1538,569.06
2016-04-12,BUY,55.72,1561,0
2016-05-03,SELL,58.78,1561,4776.66
2016-11-02,BUY,64.23,1429,0
2016-11-21,SELL,67.23,1429,4287
2017-02-10,BUY,62.26,1543,0
2017-03-02,SELL,65.85,1543,5539.37
2018-01-03,BUY,83.74,1213,0
2018-02-21,SELL,82.47,1213,-1540.51
2018-03-23,BUY,81.52,1227,0
2018-04-18,SELL,84.89,1227,4134.99
2018-08-20,BUY,93.1,1119,0
2018-09-12,SELL,96.28,1119,3558.42
2019-01-17,BUY,106.64,1010,0
2019-02-05,SELL,111.65,1010,5060.1
2019-03-22,BUY,108.32,1041,0
2019-06-14,SELL,112.59,1041,4445.07
2019-08-08,BUY,107.33,1092,0
2019-10-30,SELL,105.91,1092,-1550.64
2019-11-07,BUY,104.44,1108,0
2020-03-26,SELL,96.29,1108,-9030.2
2020-06-12,BUY,95.91,1112,0
2020-09-02,SELL,100.62,1112,5237.52
2020-11-03,BUY,103.48,1081,0
2021-03-23,SELL,93.53,1081,-10755.9
