date, action, price, shares, pnl 
2010-05-11,BUY,96.34,1037,0
2010-07-12,SELL,97.92,1037,1638.46
2010-07-27,BUY,99.64,1020,0
2010-08-19,SELL,98.74,1020,-918
2010-10-07,BUY,99.65,1010,0
2010-11-01,SELL,94.86,1010,-4837.9
2010-12-01,BUY,98.28,975,0
2010-12-30,SELL,94.16,975,-4017
2011-05-18,BUY,87.95,1044,0
2011-08-10,SELL,93.23,1044,5512.32
2011-09-29,BUY,94.79,1027,0
2011-12-26,SELL,91.47,1027,-3409.64
2012-02-13,BUY,90.59,1037,0
2012-02-28,SELL,89.61,1037,-1016.26
2012-04-30,BUY,90.51,1026,0
2012-07-06,SELL,89.95,1026,-574.56
2013-03-07,BUY,63.14,1463,0
2013-03-21,SELL,62.67,1463,-687.61
2013-04-19,BUY,66.8,1372,0
2013-05-24,SELL,60.5,1372,-8643.6
2013-07-15,BUY,61.88,1342,0
2013-08-15,SELL,59.51,1342,-3180.54
2013-10-03,BUY,59.84,1334,0
2013-11-07,SELL,59.22,1334,-827.08
2013-12-04,BUY,60.91,1297,0
2014-01-15,SELL,58.85,1297,-2671.82
2014-03-06,BUY,59.35,1286,0
2014-08-18,SELL,65.63,1286,8076.08
2015-01-14,BUY,61.21,1379,0
2015-05-04,SELL,61.18,1379,-41.37
2015-08-13,BUY,60.65,1391,0
2015-09-09,SELL,58.45,1391,-3060.2
2015-11-03,BUY,57.98,1402,0
2015-11-25,SELL,56.79,1402,-1668.38
2016-01-06,BUY,55.96,1423,0
2016-01-25,SELL,56.05,1423,128.07
2016-02-08,BUY,56.4,1414,0
2016-02-09,SELL,56.08,1414,-452.48
2016-03-28,BUY,56.83,1396,0
2016-04-28,SELL,57.67,1396,1172.64
2016-05-02,BUY,58.44,1377,0
2017-01-02,SELL,65.21,1377,9322.29
2017-04-04,BUY,64.86,1385,0
2017-12-26,SELL,84.9,1385,27755.4
2018-03-06,BUY,84.4,1393,0
2018-04-06,SELL,80.07,1393,-6031.69
2018-04-24,BUY,85.21,1309,0
2018-08-27,SELL,90.93,1309,7487.48
2018-09-28,BUY,97.32,1223,0
2019-04-03,SELL,109.09,1223,14394.7
2019-06-19,BUY,113.87,1171,0
2019-08-09,SELL,107.67,1171,-7260.2
2019-11-06,BUY,103.35,1220,0
2019-11-15,SELL,100.98,1220,-2891.4
2020-03-18,BUY,94.31,1307,0
2020-06-09,SELL,97.61,1307,4313.1
2020-08-04,BUY,96.37,1324,0
2020-08-06,SELL,95.79,1324,-767.92
2020-09-09,BUY,105.03,1207,0
2020-11-09,SELL,104.61,1207,-506.94
2021-04-05,BUY,93.14,1356,0
2021-05-07,SELL,88.53,1356,-6251.16
2021-07-16,BUY,83.41,1439,0
2021-07-29,SELL,83.21,1439,-287.8
2021-10-06,BUY,84.77,1413,0
2022-01-13,SELL,87.94,1413,4479.21
2022-02-03,BUY,89.02,1396,0
2022-03-23,SELL,86.93,1396,-2917.64
2022-07-12,BUY,83.2,1458,0
2022-08-09,SELL,81.48,1458,-2507.76
2022-09-05,BUY,82.18,1446,0
2023-03-15,SELL,94.69,1446,18089.5
2023-06-02,BUY,93.65,1462,0
2023-07-25,SELL,91.79,1462,-2719.32
2024-02-07,BUY,79.55,1687,0
2024-04-16,SELL,80.15,1687,1012.2
2024-06-13,BUY,84.05,1608,0
2024-09-10,SELL,83.5,1608,-884.4
2024-12-18,BUY,74.47,1804,0
2025-02-20,SELL,74.87,1804,721.6
2025-07-31,BUY,72.05,1874,0
2025-09-12,SELL,66.87,1874,-9707.32
2025-11-10,BUY,67.97,1844,0
2025-12-31,SELL,64.39,1844,-6601.52
2026-02-20,BUY,66.08,1797,0
2026-05-28,SELL,66.22,1797,251.58
2026-06-05,BUY,67.53,1762,0
2027-01-01,SELL,74.1,1762,11576.3
2027-01-27,BUY,77.67,1681,0
2027-03-10,SELL,75.92,1681,-2941.75
2027-03-31,BUY,79.07,1614,0
2027-04-28,SELL,73.79,1614,-8521.92
2027-06-04,BUY,78.14,1524,0
2027-09-16,SELL,77.65,1524,-746.76
2028-01-14,BUY,73.52,1610,0
2028-02-14,SELL,73.37,1610,-241.5
2028-03-30,BUY,73.08,1616,0
2028-08-11,SELL,79.31,1616,10067.7
2028-08-29,BUY,78.88,1625,0
2028-09-08,SELL,76.88,1625,-3250
2028-12-12,BUY,73.12,1708,0
2029-02-14,SELL,71.06,1708,-3518.48
2029-04-05,BUY,73.44,1653,0
2029-05-16,SELL,69.71,1653,-6165.69
2029-07-20,BUY,71.85,1604,0
2029-09-18,SELL,67.77,1604,-6544.32
2029-12-11,BUY,64.57,1683,0
2029-12-28,SELL,64.84,1683,454.41
2030-02-01,BUY,65.14,1676,0
2030-02-28,SELL,65.24,1676,167.6
2030-06-14,BUY,64.49,1695,0
2031-03-05,SELL,78.04,1695,22967.3
2031-04-29,BUY,76.51,1729,0
2031-05-29,SELL,73.94,1729,-4443.53
2032-07-12,BUY,56.81,2250,0
2032-08-20,SELL,56.28,2250,-1192.5
2032-09-07,BUY,57.71,2195,0
2032-10-29,SELL,57.57,2195,-307.3
2033-03-22,BUY,54.44,2321,0
2033-05-19,SELL,54.23,2321,-487.41
2033-06-10,BUY,55.2,2280,0
2033-08-31,SELL,60.37,2280,11787.6
2033-09-12,BUY,59.39,2318,0
2033-11-01,SELL,59.63,2318,556.32
2033-11-25,BUY,61.55,2245,0
2034-04-28,SELL,66.59,2245,11314.8
2034-05-29,BUY,68.51,2182,0
2034-07-13,SELL,68.94,2182,938.26
2034-07-25,BUY,71.95,2091,0
2034-10-23,SELL,73.47,2091,3178.32
2034-12-01,BUY,74.56,2060,0
2035-10-09,SELL,89,2060,29746.4
2035-12-21,BUY,90.42,2028,0
2036-02-27,SELL,89,2028,-2879.76
2036-07-08,BUY,82.91,2177,0
2036-08-06,SELL,80.63,2177,-4963.56
2036-09-16,BUY,83.82,2094,0
2036-10-15,SELL,79.63,2094,-8773.86
2036-11-12,BUY,82.72,2016,0
2036-12-11,SELL,79.71,2016,-6068.16
2037-02-24,BUY,78.69,2042,0
2037-07-28,SELL,88.2,2042,19419.4
2037-08-31,BUY,91.03,1978,0
2037-09-24,SELL,85.4,1978,-11136.1
2037-11-04,BUY,88.78,1903,0
2038-01-14,SELL,88.76,1903,-38.06
2038-04-21,BUY,82.03,2059,0
2038-07-01,SELL,83.38,2059,2779.65
2038-09-24,BUY,82.36,2085,0
2038-11-09,SELL,80.66,2085,-3544.5
2038-12-01,BUY,79.56,2114,0
2038-12-14,SELL,77.22,2114,-4946.76
2039-01-26,BUY,80.54,2027,0
2039-03-03,SELL,76.87,2027,-7439.09
2039-04-29,BUY,77.7,2005,0
2039-06-20,SELL,75.14,2005,-5132.8
2039-08-19,BUY,75.29,2001,0
2039-08-26,SELL,73.17,2001,-4242.12
2039-11-24,BUY,75.08,1950,0
2040-02-09,SELL,76.07,1950,1930.5
2040-05-16,BUY,74.03,2004,0
2040-07-03,SELL,71.03,2004,-6012
2040-07-27,BUY,76.47,1861,0
2040-09-07,SELL,72.73,1861,-6960.14
2041-03-07,BUY,65.39,2070,0
2041-05-02,SELL,64.97,2070,-869.4
2041-06-06,BUY,66.56,2021,0
2041-06-27,SELL,63.79,2021,-5598.17
2041-09-16,BUY,66.92,1926,0
2042-01-03,SELL,66.91,1926,-19.26
2042-03-10,BUY,68.75,1875,0
2042-05-02,SELL,67.6,1875,-2156.25
2042-05-21,BUY,68.67,1845,0
2042-06-10,SELL,67.22,1845,-2675.25
2042-07-31,BUY,68.27,1817,0
2042-08-22,SELL,65.36,1817,-5287.47
2042-09-18,BUY,68.27,1740,0
2042-11-11,SELL,68.52,1740,435
2042-12-16,BUY,71.97,1656,0
2043-01-28,SELL,70.29,1656,-2782.08
2043-02-13,BUY,71.64,1625,0
2043-05-07,SELL,72.54,1625,1462.5
2043-07-20,BUY,71.44,1650,0
2043-08-03,SELL,68.62,1650,-4653
2043-08-24,BUY,75.08,1508,0
2043-12-01,SELL,77.69,1508,3935.88
2044-01-15,BUY,79.71,1470,0
2044-02-22,SELL,76.26,1470,-5071.5
2044-03-30,BUY,78.25,1432,0
2044-07-08,SELL,79.97,1432,2463.04
